sort_order,page,letter,code,code_type,headword,sub_headword,term,site_restriction,obs,see_snomed,see_also,is_headword_entry
0,104,A,C76.2,topography,Abdomen,,NOS,,false,false,,false
1,104,A,C47.4,topography,Abdomen,,autonomic nervous system,,false,false,,false
2,104,A,C49.4,topography,Abdomen,,connective tissue,,false,false,,false
3,104,A,C49.4,topography,Abdomen,,muscle,,false,false,,false
4,104,A,C47.4,topography,Abdomen,,peripheral nerve,,false,false,,false
5,104,A,C44.5,topography,Abdomen,,skin,,false,false,,false
6,104,A,C49.4,topography,Abdomen,,subcutaneous tissue,,false,false,,false
7,104,A,C49.4,topography,Abdominal,,aorta,,false,false,,false
8,104,A,C15.2,topography,Abdominal,,esophagus,,false,false,,false
9,104,A,C77.2,topography,Abdominal,,lymph node,,false,false,,false
10,104,A,C49.4,topography,Abdominal,,vena cava,,false,false,,false
11,104,A,8822/1,morphology,Abdominal desmoid,,Abdominal desmoid,,false,false,,true
12,104,A,8822/1,morphology,Abdominal fibromatosis,,Abdominal fibromatosis,,false,false,,true
13,104,A,C76.2,topography,Abdominal wall,,NOS,,false,false,,false
14,104,A,C44.5,topography,Abdominal wall,,"NOS (carcinoma, melanoma, nevus)",,false,false,,false
15,104,A,C49.4,topography,Abdominal wall,,"NOS (sarcoma, lipoma)",,false,false,,false
16,104,A,C49.4,topography,Abdominal wall,,adipose tissue,,false,false,,false
17,104,A,C47.4,topography,Abdominal wall,,autonomic nervous system,,false,false,,false
18,104,A,C49.4,topography,Abdominal wall,,connective tissue,,false,false,,false
19,104,A,C49.4,topography,Abdominal wall,,fatty tissue,,false,false,,false
20,104,A,C49.4,topography,Abdominal wall,,fibrous tissue,,false,false,,false
21,104,A,C49.4,topography,Abdominal wall,,muscle,,false,false,,false
22,104,A,C47.4,topography,Abdominal wall,,peripheral nerve,,false,false,,false
23,104,A,C49.4,topography,Abdominal wall,,skeletal muscle,,false,false,,false
24,104,A,C44.5,topography,Abdominal wall,,skin,,false,false,,false
25,104,A,C49.4,topography,Abdominal wall,,soft tissue,,false,false,,false
26,104,A,C49.4,topography,Abdominal wall,,subcutaneous tissue,,false,false,,false
27,104,A,C72.5,topography,Abducens nerve,,Abducens nerve,,false,false,,true
28,104,A,9871/3,morphology,Abnormal,,"marrow eosinophils, acute myeloid leukemia with (includes all variants)",,false,false,,false
29,104,A,9871/3,morphology,Abnormal,,"marrow eosinophils, acute myelomonocytic leukemia with (includes all variants)",,false,false,,false
30,104,A,9898/1,morphology,Abnormal,,"myelopoiesis, transient",,false,false,,false
31,104,A,9867/3,morphology,"Abnormalities, myeloid and lymphoid",,"Abnormalities, myeloid and lymphoid neoplasms with FGFR1",,false,false,,true
32,104,A,8075/3,morphology,Acantholytic squamous cell carcinoma,,Acantholytic squamous cell carcinoma,,false,false,,true
33,104,A,,,,,"Acanthoma, clear cell (see SNOMED)",,false,true,,false
34,104,A,,,,,Acanthosis nigricans (see SNOMED),,false,true,,false
35,104,A,C31.9,topography,Accessory,,nasal sinus,,false,false,,false
36,104,A,C72.5,topography,Accessory,,"nerve, NOS",,false,false,,false
37,104,A,C72.5,topography,Accessory,,"nerve, spinal",,false,false,,false
38,104,A,C31.9,topography,Accessory,,"sinus, nasal",,false,false,,false
39,104,A,C31.9,topography,Accessory,,"sinus, NOS",,false,false,,false
40,104,A,C41.4,topography,Acetabulum,,Acetabulum,,false,false,,true
41,104,A,8730/0,morphology,Achromic nevus (C44._),,Achromic nevus (C44._),,false,false,,true
42,104,A,8280/3,morphology,Acidophil,,adenocarcinoma (C75.1),C75.1,false,false,,false
43,104,A,8280/0,morphology,Acidophil,,adenoma (C75.1),C75.1,false,false,,false
44,104,A,8280/3,morphology,Acidophil,,carcinoma (C75.1),C75.1,false,false,,false
45,104,A,8281/0,morphology,"Acidophil-basophil adenoma, mixed",,"Acidophil-basophil adenoma, mixed (C75.1)",C75.1,false,false,,true
46,104,A,8281/3,morphology,"Acidophil-basophil carcinoma, mixed",,"Acidophil-basophil carcinoma, mixed (C75.1)",C75.1,false,false,,true
47,104,A,8550/3,morphology,Acinar,,adenocarcinoma,,false,false,,false
48,104,A,8550/0,morphology,Acinar,,adenoma,,false,false,,false
49,104,A,8550/3,morphology,Acinar,,carcinoma,,false,false,,false
50,104,A,8550/0,morphology,Acinar cell,,adenoma,,false,false,,false
51,104,A,8550/3,morphology,Acinar cell,,carcinoma,,false,false,,false
52,104,A,8551/3,morphology,Acinar cell,,cystadenocarcinoma,,false,false,,false
53,104,A,8550/1,morphology,Acinar cell,,tumor [obs],,true,false,,false
54,104,A,8552/3,morphology,"Acinar-ductal carcinoma, mixed",,"Acinar-ductal carcinoma, mixed",,false,false,,true
55,104,A,8154/3,morphology,"Acinar-endocrine carcinoma, mixed",,"Acinar-endocrine carcinoma, mixed (C25._)",,false,false,,true
56,104,A,8154/3,morphology,"Acinar-endocrine-ductal carcinoma, mixed",,"Acinar-endocrine-ductal carcinoma, mixed",,false,false,,true
57,104,A,8550/3,morphology,Acinic cell,,adenocarcinoma,,false,false,,false
58,104,A,8550/0,morphology,Acinic cell,,adenoma,,false,false,,false
59,104,A,8550/1,morphology,Acinic cell,,tumor [obs],,true,false,,false
60,104,A,C72.4,topography,Acoustic nerve,,Acoustic nerve,,false,false,,true
61,104,A,9560/0,morphology,Acoustic neuroma,,Acoustic neuroma (C72.4),C72.4,false,false,,true
62,104,A,9161/0,morphology,Acquired tufted hemangioma,,Acquired tufted hemangioma,,false,false,,true
63,104,A,8744/3,morphology,"Acral lentiginous melanoma, malignant",,"Acral lentiginous melanoma, malignant (C44._)",,false,false,,true
64,104,A,C40.0,topography,Acromioclavicular joint,,Acromioclavicular joint,,false,false,,true
65,105,A,8402/0,morphology,"Acrospiroma, eccrine (C44._)",,"Acrospiroma, eccrine (C44._)",,false,false,,true
66,105,A,8158/1,morphology,ACTH-producing tumor,,ACTH-producing tumor,,false,false,,true
67,105,A,,,ACTH-producing tumor,,Actinic keratosis (see SNOMED),,false,true,,false
68,105,A,9840/3,morphology,Acute,,erythremia (C42.1) [obs],C42.1,true,false,,false
69,105,A,9840/3,morphology,Acute,,erythremic myelosis (C42.1) [obs],C42.1,true,false,,false
70,105,A,9931/3,morphology,Acute,,myelofibrosis (C42.1),C42.1,false,false,,false
71,105,A,9931/3,morphology,Acute,,"myelosclerosis, NOS (C42.1)",C42.1,false,false,,false
72,105,A,9931/3,morphology,Acute,,"panmyelosis, NOS (C42.1) [obs]",C42.1,true,false,,false
73,105,A,9931/3,morphology,Acute,,panmyelosis with myelofibrosis (C42.1),C42.1,false,false,,false
74,105,A,9751/3,morphology,Acute,,progressive histiocytosis X [obs],,true,false,,false
75,105,A,9310/0,morphology,Adamantinoma,,NOS (except of long bones 9261/3) (C41._),,false,false,,false
76,105,A,9261/3,morphology,Adamantinoma,,long bones (C40._),,false,false,,false
77,105,A,9310/3,morphology,Adamantinoma,,malignant (except of long bones 9261/3) (C41._),,false,false,,false
78,105,A,9261/3,morphology,Adamantinoma,,tibial (C40.2),C40.2,false,false,,false
79,105,A,9351/1,morphology,Adamantinomatous craniopharyngioma,,Adamantinomatous craniopharyngioma (C75.2),C75.2,false,false,,true
80,105,A,8570/3,morphology,Adenoacanthoma,,Adenoacanthoma,,false,false,,true
81,105,A,9300/0,morphology,Adenoameloblastoma (C41._),,Adenoameloblastoma (C41._),,false,false,,true
82,105,A,8313/3,morphology,Adenocarcinofibroma,,clear cell (C56.9),C56.9,false,false,,false
83,105,A,9015/3,morphology,Adenocarcinofibroma,,mucinous,,false,false,,false
84,105,A,9014/3,morphology,Adenocarcinofibroma,,serous,,false,false,,false
85,105,A,8245/3,morphology,Adenocarcinoid tumor,,Adenocarcinoid tumor,,false,false,,true
86,105,A,8140/3,morphology,Adenocarcinoma,,NOS,,false,false,,false
87,105,A,8140/6,morphology,Adenocarcinoma,,"NOS, metastatic",,false,false,,false
88,105,A,8280/3,morphology,Adenocarcinoma,,acidophil (C75.1),C75.1,false,false,,false
89,105,A,8550/3,morphology,Adenocarcinoma,,acinar,,false,false,,false
90,105,A,8550/3,morphology,Adenocarcinoma,,acinic cell,,false,false,,false
91,105,A,8370/3,morphology,Adenocarcinoma,,adrenal cortical (C74.0),C74.0,false,false,,false
92,105,A,8251/3,morphology,Adenocarcinoma,,alveolar (C34._),,false,false,,false
93,105,A,8215/3,morphology,Adenocarcinoma,,anal ducts (C21.1),C21.1,false,false,,false
94,105,A,8215/3,morphology,Adenocarcinoma,,anal glands (C21.1),C21.1,false,false,,false
95,105,A,8244/3,morphology,Adenocarcinoma,,"and carcinoid, combined",,false,false,,false
96,105,A,8244/3,morphology,Adenocarcinoma,,"and carcinoid, combined/mixed",,false,false,,false
97,105,A,8560/3,morphology,Adenocarcinoma,,"and epidermoid carcinoma, mixed",,false,false,,false
98,105,A,8560/3,morphology,Adenocarcinoma,,"and squamous cell carcinoma, mixed",,false,false,,false
99,105,A,8401/3,morphology,Adenocarcinoma,,apocrine,,false,false,,false
100,105,A,8147/3,morphology,Adenocarcinoma,,"basal cell (C07._, C08._)",,false,false,,false
101,105,A,8300/3,morphology,Adenocarcinoma,,basophil (C75.1),C75.1,false,false,,false
102,105,A,8160/3,morphology,Adenocarcinoma,,"bile duct (C22.1, C24.0)",,false,false,,false
103,105,A,8250/3,morphology,Adenocarcinoma,,bronchiolar (C34.1),C34.1,false,false,,false
104,105,A,8250/3,morphology,Adenocarcinoma,,"bronchiolo-alveolar, NOS (C34._)",,false,false,,false
105,105,A,8420/3,morphology,Adenocarcinoma,,ceruminous (C44.2),C44.2,false,false,,false
106,105,A,8270/3,morphology,Adenocarcinoma,,chromophobe (C75.1),C75.1,false,false,,false
107,105,A,8310/3,morphology,Adenocarcinoma,,"clear cell, mesonephroid",,false,false,,false
108,105,A,8310/3,morphology,Adenocarcinoma,,"clear cell, NOS",,false,false,,false
109,105,A,8480/3,morphology,Adenocarcinoma,,colloid,,false,false,,false
110,105,A,8244/3,morphology,Adenocarcinoma,Combined,carcinoid and adenocarcinoma (C34._),,false,false,,false
111,105,A,8045/3,morphology,Adenocarcinoma,Combined,small cell-adenocarcinoma (C34._),,false,false,,false
112,105,A,8255/3,morphology,Adenocarcinoma,Combined,with other types of carcinoma,,false,false,,false
113,105,A,8244/3,morphology,Adenocarcinoma,,combined/mixed carcinoid and,,false,false,,false
114,105,A,8201/3,morphology,Adenocarcinoma,,"comedo-type cribriform (C18._, C19.9, C20.9)",,false,false,,false
115,105,A,8201/3,morphology,Adenocarcinoma,,"cribriform comedo-type (C18._, C19.9, C20.9)",,false,false,,false
116,105,A,8200/3,morphology,Adenocarcinoma,,cylindroid,,false,false,,false
117,105,A,8145/3,morphology,Adenocarcinoma,,diffuse type (C16._),,false,false,,false
118,105,A,8408/3,morphology,Adenocarcinoma,,digital papillary (C44._),,false,false,,false
119,105,A,8500/3,morphology,Adenocarcinoma,,"duct, infiltrating (C50._)",,false,false,,false
120,105,A,8500/3,morphology,Adenocarcinoma,,"duct, NOS (C50._)",,false,false,,false
121,105,A,8413/3,morphology,Adenocarcinoma,,"eccrine, NOS (C44._)",,false,false,,false
122,105,A,8408/3,morphology,Adenocarcinoma,,eccrine papillary (C44._),,false,false,,false
123,105,A,9070/3,morphology,Adenocarcinoma,,embryonal,,false,false,,false
124,105,A,8384/3,morphology,Adenocarcinoma,,endocervical type,,false,false,,false
125,105,A,8154/3,morphology,Adenocarcinoma,,"endocrine and exocrine, mixed (C25._)",,false,false,,false
126,105,A,8380/3,morphology,Adenocarcinoma,Endometrioid,NOS,,false,false,,false
127,105,A,8383/3,morphology,Adenocarcinoma,Endometrioid,ciliated cell variant,,false,false,,false
128,105,A,8382/3,morphology,Adenocarcinoma,Endometrioid,secretory variant,,false,false,,false
129,105,A,8280/3,morphology,Adenocarcinoma,,eosinophil (C75.1),C75.1,false,false,,false
130,105,A,8154/3,morphology,Adenocarcinoma,,"exocrine and endocrine, mixed (C25._)",,false,false,,false
131,105,A,8154/3,morphology,Adenocarcinoma,,"exocrine and islet cell, mixed (C25._)",,false,false,,false
132,105,A,8333/3,morphology,Adenocarcinoma,,fetal (C73.9),C73.9,false,false,,false
133,105,A,8330/3,morphology,Adenocarcinoma,Follicular,NOS (C73.9),C73.9,false,false,,false
134,105,A,8340/3,morphology,Adenocarcinoma,Follicular,and papillary (C73.9),C73.9,false,false,,false
135,105,A,8332/3,morphology,Adenocarcinoma,Follicular,moderately differentiated (C73.9),C73.9,false,false,,false
136,105,A,8332/3,morphology,Adenocarcinoma,Follicular,trabecular (C73.9),C73.9,false,false,,false
137,105,A,8331/3,morphology,Adenocarcinoma,Follicular,well differentiated (C73.9),C73.9,false,false,,false
138,105,A,8480/3,morphology,Adenocarcinoma,,gelatinous [obs],,true,false,,false
139,105,A,8320/3,morphology,Adenocarcinoma,,granular cell,,false,false,,false
140,105,A,8576/3,morphology,Adenocarcinoma,,hepatoid,,false,false,,false
141,105,A,8290/3,morphology,Adenocarcinoma,,Hurthle cell (C73.9),C73.9,false,false,,false
142,105,A,8210/3,morphology,Adenocarcinoma,,in adenomatous polyp,,false,false,,false
143,105,A,8220/3,morphology,Adenocarcinoma,,in adenomatous polyposis coli (C18._),,false,false,,false
144,105,A,8210/3,morphology,Adenocarcinoma,,"in a polyp, NOS",,false,false,,false
145,105,A,8503/3,morphology,Adenocarcinoma,,infiltrating and papillary,,false,false,,false
146,105,A,8500/3,morphology,Adenocarcinoma,,infiltrating duct (C50._),,false,false,,false
147,105,A,8530/3,morphology,Adenocarcinoma,,inflammatory (C50._),,false,false,,false
148,105,A,8221/3,morphology,Adenocarcinoma,,in multiple adenomatous polyps,,false,false,,false
149,105,A,8210/3,morphology,Adenocarcinoma,,in polypoid adenoma,,false,false,,false
150,105,A,8140/2,morphology,Adenocarcinoma,In situ,NOS,,false,false,,false
151,105,A,8210/2,morphology,Adenocarcinoma,In situ,in adenomatous polyp,,false,false,,false
152,105,A,8210/2,morphology,Adenocarcinoma,In situ,"in a polyp, NOS",,false,false,,false
153,105,A,8210/2,morphology,Adenocarcinoma,In situ,in polypoid adenoma,,false,false,,false
154,105,A,8210/2,morphology,Adenocarcinoma,In situ,in tubular adenoma,,false,false,,false
155,105,A,8263/2,morphology,Adenocarcinoma,In situ,in tubulovillous adenoma,,false,false,,false
156,106,A,8261/2,morphology,Adenocarcinoma,In situ,in villous adenoma,,false,false,,false
157,106,A,8144/3,morphology,Adenocarcinoma,,intestinal type (C16._),,false,false,,false
158,106,A,8504/3,morphology,Adenocarcinoma,,intracystic papillary,,false,false,,false
159,106,A,8500/2,morphology,Adenocarcinoma,Intraductal,"noninfiltrating, NOS",,false,false,,false
160,106,A,8503/2,morphology,Adenocarcinoma,Intraductal,"noninfiltrating, papillary (C50._)",,false,false,,false
161,106,A,8503/2,morphology,Adenocarcinoma,Intraductal,"papillary, NOS (C50._)",,false,false,,false
162,106,A,8503/3,morphology,Adenocarcinoma,Intraductal,"papillary, with invasion (C50._)",,false,false,,false
163,106,A,8210/3,morphology,Adenocarcinoma,,in tubular adenoma,,false,false,,false
164,106,A,8263/3,morphology,Adenocarcinoma,,in tubulovillous adenoma,,false,false,,false
165,106,A,8261/3,morphology,Adenocarcinoma,,in villous adenoma,,false,false,,false
166,106,A,8154/3,morphology,Adenocarcinoma,,"islet cell and exocrine, mixed (C25._)",,false,false,,false
167,106,A,8150/3,morphology,Adenocarcinoma,,islet cell (C25._),,false,false,,false
168,106,A,8520/3,morphology,Adenocarcinoma,,lobular (C50._),,false,false,,false
169,106,A,8525/3,morphology,Adenocarcinoma,,"low grade, polymorphous",,false,false,,false
170,106,A,8510/3,morphology,Adenocarcinoma,,medullary,,false,false,,false
171,106,A,9110/3,morphology,Adenocarcinoma,,mesonephric,,false,false,,false
172,106,A,8310/3,morphology,Adenocarcinoma,,"mesonephroid, clear cell",,false,false,,false
173,106,A,8560/3,morphology,Adenocarcinoma,Mixed,adenocarcinoma and epidermoid carcinoma,,false,false,,false
174,106,A,8560/3,morphology,Adenocarcinoma,Mixed,adenocarcinoma and squamous cell carcinoma,,false,false,,false
175,106,A,8244/3,morphology,Adenocarcinoma,Mixed,carcinoid-adenocarcinoma,,false,false,,false
176,106,A,8323/3,morphology,Adenocarcinoma,Mixed,cell,,false,false,,false
177,106,A,8154/3,morphology,Adenocarcinoma,Mixed,endocrine and exocrine (C25._),,false,false,,false
178,106,A,8154/3,morphology,Adenocarcinoma,Mixed,exocrine and endocrine (C25._),,false,false,,false
179,106,A,8154/3,morphology,Adenocarcinoma,Mixed,islet cell and exocrine (C25._),,false,false,,false
180,106,A,8482/3,morphology,Adenocarcinoma,,"mucinous, endocervical type",,false,false,,false
181,106,A,8480/3,morphology,Adenocarcinoma,,"mucinous, NOS",,false,false,,false
182,106,A,8481/3,morphology,Adenocarcinoma,,mucin-producing,,false,false,,false
183,106,A,8481/3,morphology,Adenocarcinoma,,mucin-secreting,,false,false,,false
184,106,A,8480/3,morphology,Adenocarcinoma,,mucoid,,false,false,,false
185,106,A,8300/3,morphology,Adenocarcinoma,,mucoid cell (C75.1),C75.1,false,false,,false
186,106,A,8480/3,morphology,Adenocarcinoma,,mucous,,false,false,,false
187,106,A,8350/3,morphology,Adenocarcinoma,,nonencapsulated sclerosing (C73.9),C73.9,false,false,,false
188,106,A,8500/2,morphology,Adenocarcinoma,,"noninfiltrating, intraductal, NOS",,false,false,,false
189,106,A,8503/2,morphology,Adenocarcinoma,,"noninfiltrating, intraductal, papillary (C50._)",,false,false,,false
190,106,A,8290/3,morphology,Adenocarcinoma,,oncocytic,,false,false,,false
191,106,A,8290/3,morphology,Adenocarcinoma,,oxyphilic,,false,false,,false
192,106,A,8163/3,morphology,Adenocarcinoma,,pancreatobiliary-type (C24.1),C24.1,false,false,,false
193,106,A,8260/3,morphology,Adenocarcinoma,Papillary,NOS,,false,false,,false
194,106,A,8340/3,morphology,Adenocarcinoma,Papillary,and follicular (C73.9),C73.9,false,false,,false
195,106,A,8503/3,morphology,Adenocarcinoma,Papillary,and infiltrating (C50._),,false,false,,false
196,106,A,8408/3,morphology,Adenocarcinoma,Papillary,digital (C44._),,false,false,,false
197,106,A,8408/3,morphology,Adenocarcinoma,Papillary,eccrine (C44._),,false,false,,false
198,106,A,8340/3,morphology,Adenocarcinoma,Papillary,follicular variant (C73.9),C73.9,false,false,,false
199,106,A,8503/3,morphology,Adenocarcinoma,Papillary,infiltrating (C50._),,false,false,,false
200,106,A,8504/3,morphology,Adenocarcinoma,Papillary,intracystic,,false,false,,false
201,106,A,8503/2,morphology,Adenocarcinoma,Papillary,"intraductal, noninfiltrating (C50._)",,false,false,,false
202,106,A,8503/2,morphology,Adenocarcinoma,Papillary,"intraductal, NOS (C50._)",,false,false,,false
203,106,A,8503/3,morphology,Adenocarcinoma,Papillary,"intraductal, with invasion (C50._)",,false,false,,false
204,106,A,8460/3,morphology,Adenocarcinoma,Papillary,serous (C56.9),C56.9,false,false,,false
205,106,A,8450/3,morphology,Adenocarcinoma,,papillocystic,,false,false,,false
206,106,A,8263/3,morphology,Adenocarcinoma,,papillotubular,,false,false,,false
207,106,A,8214/3,morphology,Adenocarcinoma,,parietal cell (C16._),,false,false,,false
208,106,A,8525/3,morphology,Adenocarcinoma,,polymorphous low grade,,false,false,,false
209,106,A,8470/3,morphology,Adenocarcinoma,,pseudomucinous (C56.9),C56.9,false,false,,false
210,106,A,8312/3,morphology,Adenocarcinoma,,renal cell (C64.9),C64.9,false,false,,false
211,106,A,8141/3,morphology,Adenocarcinoma,,scirrhous,,false,false,,false
212,106,A,8350/3,morphology,Adenocarcinoma,,"sclerosing, nonencapsulated (C73.9)",C73.9,false,false,,false
213,106,A,8410/3,morphology,Adenocarcinoma,,sebaceous (C44._),,false,false,,false
214,106,A,8441/3,morphology,Adenocarcinoma,,"serous, NOS",,false,false,,false
215,106,A,8460/3,morphology,Adenocarcinoma,,"serous, papillary (C56.9)",C56.9,false,false,,false
216,106,A,8213/3,morphology,Adenocarcinoma,,serrated,,false,false,,false
217,106,A,8490/3,morphology,Adenocarcinoma,,signet ring cell,,false,false,,false
218,106,A,8230/3,morphology,Adenocarcinoma,,"solid, with mucin formation",,false,false,,false
219,106,A,8143/3,morphology,Adenocarcinoma,,superficial spreading,,false,false,,false
220,106,A,8400/3,morphology,Adenocarcinoma,,sweat gland (C44._),,false,false,,false
221,106,A,8525/3,morphology,Adenocarcinoma,,terminal duct,,false,false,,false
222,106,A,8190/3,morphology,Adenocarcinoma,,trabecular,,false,false,,false
223,106,A,8211/3,morphology,Adenocarcinoma,,tubular,,false,false,,false
224,106,A,8263/3,morphology,Adenocarcinoma,,tubulopapillary,,false,false,,false
225,106,A,8262/3,morphology,Adenocarcinoma,,villous,,false,false,,false
226,106,A,8322/3,morphology,Adenocarcinoma,,water-clear cell (C75.0),C75.0,false,false,,false
227,106,A,8573/3,morphology,Adenocarcinoma,,with apocrine metaplasia,,false,false,,false
228,106,A,8571/3,morphology,Adenocarcinoma,,with cartilaginous and osseous metaplasia,,false,false,,false
229,106,A,8571/3,morphology,Adenocarcinoma,,with cartilaginous metaplasia,,false,false,,false
230,106,A,8255/3,morphology,Adenocarcinoma,,with mixed subtypes,,false,false,,false
231,106,A,8574/3,morphology,Adenocarcinoma,,with neuroendocrine differentiation,,false,false,,false
232,106,A,8571/3,morphology,Adenocarcinoma,,with osseous metaplasia,,false,false,,false
233,106,A,8255/3,morphology,Adenocarcinoma,,"with other types of carcinoma, combined",,false,false,,false
234,106,A,8572/3,morphology,Adenocarcinoma,,with spindle cell metaplasia,,false,false,,false
235,106,A,8570/3,morphology,Adenocarcinoma,,with squamous metaplasia,,false,false,,false
236,106,A,8200/3,morphology,Adenocystic carcinoma,,Adenocystic carcinoma,,false,false,,true
237,106,A,9013/0,morphology,Adenofibroma,,NOS,,false,false,,false
238,106,A,8313/0,morphology,Adenofibroma,,clear cell (C56.9),C56.9,false,false,,false
239,106,A,8313/1,morphology,Adenofibroma,,"clear cell, of borderline malignancy (C56.9)",C56.9,false,false,,false
240,106,A,8381/0,morphology,Adenofibroma,Endometrioid,NOS,,false,false,,false
241,106,A,8381/1,morphology,Adenofibroma,Endometrioid,borderline malignancy,,false,false,,false
242,106,A,8381/3,morphology,Adenofibroma,Endometrioid,malignant,,false,false,,false
243,106,A,9015/0,morphology,Adenofibroma,,mucinous,,false,false,,false
244,106,A,9015/1,morphology,Adenofibroma,,"mucinous, of borderline malignancy",,false,false,,false
245,106,A,8965/0,morphology,Adenofibroma,,nephrogenic (C64.9),C64.9,false,false,,false
246,106,A,9013/0,morphology,Adenofibroma,,papillary,,false,false,,false
247,106,A,9014/0,morphology,Adenofibroma,Serous,NOS,,false,false,,false
248,106,A,9014/1,morphology,Adenofibroma,Serous,borderline malignancy,,false,false,,false
249,106,A,9014/3,morphology,Adenofibroma,Serous,malignant,,false,false,,false
250,107,A,,,Adenocarcinoma,,Adenofibrosis (see SNOMED),,false,true,,false
251,107,A,C11.1,topography,Adenoid,,Adenoid,,false,false,,true
252,107,A,8098/3,morphology,Adenoid,,basal carcinoma (C53._),,false,false,,false
253,107,A,8200/3,morphology,Adenoid,,cystic carcinoma,,false,false,,false
254,107,A,8075/3,morphology,Adenoid,,squamous cell carcinoma,,false,false,,false
255,107,A,8100/0,morphology,"Adenoides cysticum, epithelioma (C44._)",,"Adenoides cysticum, epithelioma (C44._)",,false,false,,true
256,107,A,8324/0,morphology,Adenolipoma,,Adenolipoma,,false,false,,true
257,107,A,8561/0,morphology,"Adenolymphoma (C07._, C08._)",,"Adenolymphoma (C07._, C08._)",,false,false,,true
258,107,A,8140/0,morphology,Adenoma,,NOS,,false,false,,false
259,107,A,8281/0,morphology,Adenoma,,"acidophil-basophil, mixed (C75.1)",C75.1,false,false,,false
260,107,A,8280/0,morphology,Adenoma,,acidophil (C75.1),C75.1,false,false,,false
261,107,A,8550/0,morphology,Adenoma,,acinar,,false,false,,false
262,107,A,8550/0,morphology,Adenoma,,acinar cell,,false,false,,false
263,107,A,8550/0,morphology,Adenoma,,acinic cell,,false,false,,false
264,107,A,8210/3,morphology,Adenoma,,adenocarcinoma in polypoid,,false,false,,false
265,107,A,8370/0,morphology,Adenoma,Adrenal cortical,NOS (C74.0),C74.0,false,false,,false
266,107,A,8373/0,morphology,Adenoma,Adrenal cortical,clear cell (C74.0),C74.0,false,false,,false
267,107,A,8371/0,morphology,Adenoma,Adrenal cortical,compact cell (C74.0),C74.0,false,false,,false
268,107,A,8374/0,morphology,Adenoma,Adrenal cortical,glomerulosa cell (C74.0),C74.0,false,false,,false
269,107,A,8375/0,morphology,Adenoma,Adrenal cortical,mixed cell (C74.0),C74.0,false,false,,false
270,107,A,8372/0,morphology,Adenoma,Adrenal cortical,pigmented (C74.0),C74.0,false,false,,false
271,107,A,8408/1,morphology,Adenoma,,aggressive digital papillary (C44._),,false,false,,false
272,107,A,8251/0,morphology,Adenoma,,alveolar (C34._),,false,false,,false
273,107,A,8401/0,morphology,Adenoma,,apocrine,,false,false,,false
274,107,A,8140/1,morphology,Adenoma,,atypical,,false,false,,false
275,107,A,8147/0,morphology,Adenoma,,"basal cell (C07._, C08._)",,false,false,,false
276,107,A,8281/0,morphology,Adenoma,,"basophil-acidophil, mixed (C75.1)",C75.1,false,false,,false
277,107,A,8300/0,morphology,Adenoma,,basophil (C75.1),C75.1,false,false,,false
278,107,A,8151/0,morphology,Adenoma,,beta cell (C25._),,false,false,,false
279,107,A,8160/0,morphology,Adenoma,,"bile duct (C22.1, C24.0)",,false,false,,false
280,107,A,8372/0,morphology,Adenoma,,black (C74.0),C74.0,false,false,,false
281,107,A,8140/1,morphology,Adenoma,Bronchial,NOS (C34._),,false,false,,false
282,107,A,8240/3,morphology,Adenoma,Bronchial,carcinoid (C34._),,false,false,,false
283,107,A,8200/3,morphology,Adenoma,Bronchial,cylindroid (C34._),,false,false,,false
284,107,A,8149/0,morphology,Adenoma,,canalicular,,false,false,,false
285,107,A,8420/0,morphology,Adenoma,,ceruminous (C44.2),C44.2,false,false,,false
286,107,A,8321/0,morphology,Adenoma,,chief cell (C75.0),C75.0,false,false,,false
287,107,A,8270/0,morphology,Adenoma,,chromophobe (C75.1),C75.1,false,false,,false
288,107,A,8310/0,morphology,Adenoma,,clear cell,,false,false,,false
289,107,A,8334/0,morphology,Adenoma,,colloid (C73.9),C73.9,false,false,,false
290,107,A,8408/1,morphology,Adenoma,,"digital papillary, aggressive (C44._)",,false,false,,false
291,107,A,8503/0,morphology,Adenoma,,"duct, NOS",,false,false,,false
292,107,A,8408/0,morphology,Adenoma,,eccrine papillary (C44._),,false,false,,false
293,107,A,8191/0,morphology,Adenoma,,embryonal,,false,false,,false
294,107,A,8380/1,morphology,Adenoma,,"endometrioid, borderline malignancy",,false,false,,false
295,107,A,8380/0,morphology,Adenoma,,"endometrioid, NOS",,false,false,,false
296,107,A,8280/0,morphology,Adenoma,,eosinophil (C75.1),C75.1,false,false,,false
297,107,A,8333/0,morphology,Adenoma,,fetal (C73.9),C73.9,false,false,,false
298,107,A,8212/0,morphology,Adenoma,,flat,,false,false,,false
299,107,A,8330/0,morphology,Adenoma,Follicular,NOS (C73.9),C73.9,false,false,,false
300,107,A,8330/1,morphology,Adenoma,Follicular,atypical (C73.9),C73.9,false,false,,false
301,107,A,8290/0,morphology,Adenoma,Follicular,oxyphilic cell (C73.9),C73.9,false,false,,false
302,107,A,8170/0,morphology,Adenoma,,hepatocellular (C22.0),C22.0,false,false,,false
303,107,A,8290/0,morphology,Adenoma,,Hurthle cell (C73.9),C73.9,false,false,,false
304,107,A,8504/0,morphology,Adenoma,,"intracystic, papillary",,false,false,,false
305,107,A,8453/0,morphology,Adenoma,,intraductal papillary-mucinous (C25._),,false,false,,false
