sort_order,code,behavior,term,synonyms,site_restriction,obs,group_code,group_name
450,8700/0,0,"Pheochromocytoma, NOS (C74.1)",Adrenal medullary paraganglioma (C74.1) | Chromaffin paraganglioma | Chromaffin tumor | Chromaffinoma,C74.1,false,868-871,Paragangliomas and glomus tumors
451,8700/3,3,"Pheochromocytoma, malignant (C74.1)","Adrenal medullary paraganglioma, malignant (C74.1) | Pheochromoblastoma (C74.1)",C74.1,false,868-871,Paragangliomas and glomus tumors
452,8710/3,3,Glomangiosarcoma,Glomoid sarcoma,,false,868-871,Paragangliomas and glomus tumors
453,8711/0,0,"Glomus tumor, NOS",,,false,868-871,Paragangliomas and glomus tumors
454,8711/3,3,"Glomus tumor, malignant",,,false,868-871,Paragangliomas and glomus tumors
455,8712/0,0,Glomangioma,,,false,868-871,Paragangliomas and glomus tumors
456,8713/0,0,Glomangiomyoma,,,false,868-871,Paragangliomas and glomus tumors
457,8720/0,0,"Pigmented nevus, NOS (C44._)","Nevus, NOS (C44._) | Melanocytic nevus (C44._) | Hairy nevus (C44._)",,false,872-879,Nevi and melanomas
458,8720/2,2,Melanoma in situ,,,false,872-879,Nevi and melanomas
459,8720/3,3,"Malignant melanoma, NOS (except juvenile melanoma M-8770/0)","Melanoma, NOS",,false,872-879,Nevi and melanomas
460,8721/3,3,Nodular melanoma (C44._),,,false,872-879,Nevi and melanomas
461,8722/0,0,Balloon cell nevus (C44._),,,false,872-879,Nevi and melanomas
462,8722/3,3,Balloon cell melanoma (C44._),,,false,872-879,Nevi and melanomas
463,8723/0,0,Halo nevus (C44._),Regressing nevus (C44._),,false,872-879,Nevi and melanomas
464,8723/3,3,"Malignant melanoma, regressing (C44._)",,,false,872-879,Nevi and melanomas
465,8725/0,0,Neuronevus (C44._),,,false,872-879,Nevi and melanomas
466,8726/0,0,Magnocellular nevus (C69.4),"Melanocytoma, eyeball (C69.4) | Melanocytoma, NOS",C69.4,false,872-879,Nevi and melanomas
467,8727/0,0,Dysplastic nevus (C44._),,,false,872-879,Nevi and melanomas
468,8728/0,0,Diffuse melanocytosis (C70.9),,C70.9,false,872-879,Nevi and melanomas
469,8728/1,1,Meningeal melanocytoma (C70.9),,C70.9,false,872-879,Nevi and melanomas
470,8728/3,3,Meningeal melanomatosis (C70.9),,C70.9,false,872-879,Nevi and melanomas
471,8730/0,0,Nonpigmented nevus (C44._),Achromic nevus (C44._),,false,872-879,Nevi and melanomas
472,8730/3,3,Amelanotic melanoma (C44._),,,false,872-879,Nevi and melanomas
473,8740/0,0,"Junctional nevus, NOS (C44._)",Intraepidermal nevus (C44._) | Junction nevus (C44._),,false,872-879,Nevi and melanomas
474,8740/3,3,Malignant melanoma in junctional nevus (C44._),,,false,872-879,Nevi and melanomas
475,8741/2,2,"Precancerous melanosis, NOS (C44._)",,,false,872-879,Nevi and melanomas
476,8741/3,3,Malignant melanoma in precancerous melanosis (C44._),,,false,872-879,Nevi and melanomas
477,8742/2,2,Lentigo maligna (C44._),"Hutchinson melanotic freckle, NOS (C44._)",,false,872-879,Nevi and melanomas
478,8742/3,3,Lentigo maligna melanoma (C44._),Malignant melanoma in Hutchinson melanotic freckle (C44._),,false,872-879,Nevi and melanomas
479,8743/3,3,Superficial spreading melanoma (C44._),,,false,872-879,Nevi and melanomas
480,8744/3,3,"Acral lentiginous melanoma, malignant (C44._)",,,false,872-879,Nevi and melanomas
481,8745/3,3,"Desmoplastic melanoma, malignant (C44._)","Desmoplastic melanoma, amelanotic (C44._) | Neurotropic melanoma, malignant (C44._)",,false,872-879,Nevi and melanomas
482,8746/3,3,Mucosal lentiginous melanoma,,,false,872-879,Nevi and melanomas
483,8750/0,0,Intradermal nevus (C44._),Dermal nevus (C44._),,false,872-879,Nevi and melanomas
484,8760/0,0,Compound nevus (C44._),Dermal and epidermal nevus (C44._),,false,872-879,Nevi and melanomas
485,8761/0,0,Small congenital nevus (C44._),,,false,872-879,Nevi and melanomas
486,8761/1,1,"Giant pigmented nevus, NOS (C44._)",Intermediate and giant congenital nevus (C44._),,false,872-879,Nevi and melanomas
487,8761/3,3,Malignant melanoma in giant pigmented nevus (C44._),Malignant melanoma in congenital melanocytic nevus (C44._),,false,872-879,Nevi and melanomas
488,8762/1,1,Proliferative dermal lesion in congenital nevus (C44._),,,false,872-879,Nevi and melanomas
489,8770/0,0,Epithelioid and spindle cell nevus (C44._) 8806/3 Desmoplastic small round cell tumor,Juvenile melanoma (C44._) | Juvenile nevus (C44._) | Spitz nevus (C44._) | Pigmented spindle cell nevus of Reed (C44._),,false,872-879,Nevi and melanomas
490,8770/3,3,Mixed epithelioid and spindle cell melanoma,,,false,872-879,Nevi and melanomas
491,8771/0,0,Epithelioid cell nevus (C44._),,,false,872-879,Nevi and melanomas
492,8771/3,3,Epithelioid cell melanoma,,,false,872-879,Nevi and melanomas
493,8772/0,0,"Spindle cell nevus, NOS (C44._)",,,false,872-879,Nevi and melanomas
494,8772/3,3,"Spindle cell melanoma, NOS",,,false,872-879,Nevi and melanomas
495,8773/3,3,"Spindle cell melanoma, type A (C69._)",,,false,872-879,Nevi and melanomas
496,8774/3,3,"Spindle cell melanoma, type B (C69._)",,,false,872-879,Nevi and melanomas
497,8780/0,0,"Blue nevus, NOS (C44._)",Jadassohn blue nevus (C44._),,false,872-879,Nevi and melanomas
498,8780/3,3,"Blue nevus, malignant (C44._)",,,false,872-879,Nevi and melanomas
499,8790/0,0,Cellular blue nevus (C44._),,,false,872-879,Nevi and melanomas
500,8800/0,0,"Soft tissue tumor, benign",,,false,880,"Soft tissue tumors and sarcomas, NOS"
501,8800/3,3,"Sarcoma, NOS","Mesenchymal tumor, malignant | Soft tissue sarcoma | Soft tissue tumor, malignant",,false,880,"Soft tissue tumors and sarcomas, NOS"
502,8800/9,9,"Sarcomatosis, NOS",,,false,880,"Soft tissue tumors and sarcomas, NOS"
503,8801/3,3,Spindle cell sarcoma,,,false,880,"Soft tissue tumors and sarcomas, NOS"
504,8802/3,3,Giant cell sarcoma (except of bone M-9250/3),Pleomorphic cell sarcoma,,false,880,"Soft tissue tumors and sarcomas, NOS"
505,8803/3,3,Small cell sarcoma,Round cell sarcoma,,false,880,"Soft tissue tumors and sarcomas, NOS"
506,8804/3,3,Epithelioid sarcoma,Epithelioid cell sarcoma,,false,880,"Soft tissue tumors and sarcomas, NOS"
507,8805/3,3,Undifferentiated sarcoma,,,false,880,"Soft tissue tumors and sarcomas, NOS"
508,8810/0,0,"Fibroma, NOS",,,false,881-883,Fibromatous neoplasms
509,8810/1,1,Cellular fibroma (C56.9),,C56.9,false,881-883,Fibromatous neoplasms
510,8810/3,3,"Fibrosarcoma, NOS",,,false,881-883,Fibromatous neoplasms
511,8811/0,0,Fibromyxoma,"Myxofibroma, NOS | Myxoid fibroma | Plexiform fibromyxoma",,false,881-883,Fibromatous neoplasms
512,8811/3,3,Fibromyxosarcoma,,,false,881-883,Fibromatous neoplasms
513,8812/0,0,"Periosteal fibroma (C40._,C41._)",,,false,881-883,Fibromatous neoplasms
514,8812/3,3,"Periosteal fibrosarcoma (C40._,C41._)","Periosteal sarcoma, NOS (C40._,C41._)",,false,881-883,Fibromatous neoplasms
515,8813/0,0,Fascial fibroma,,,false,881-883,Fibromatous neoplasms
516,8813/3,3,Fascial fibrosarcoma,,,false,881-883,Fibromatous neoplasms
517,8814/3,3,Infantile fibrosarcoma,Congenital fibrosarcoma,,false,881-883,Fibromatous neoplasms
518,8815/0,0,Solitary fibrous tumor,Localized fibrous tumor,,false,881-883,Fibromatous neoplasms
519,8815/3,3,"Solitary fibrous tumor, malignant",,,false,881-883,Fibromatous neoplasms
520,8820/0,0,Elastofibroma,,,false,881-883,Fibromatous neoplasms
521,8821/1,1,Aggressive fibromatosis,"Desmoid, NOS | Extra-abdominal desmoid | Invasive fibroma",,false,881-883,Fibromatous neoplasms
522,8822/1,1,Abdominal fibromatosis,Abdominal desmoid | Mesenteric fibromatosis (C48.1) | Retroperitoneal fibromatosis (C48.0),C48.1,false,881-883,Fibromatous neoplasms
523,8823/0,0,Desmoplastic fibroma,,,false,881-883,Fibromatous neoplasms
524,8824/0,0,Myofibroma,,,false,881-883,Fibromatous neoplasms
525,8824/1,1,Myofibromatosis,Congenital generalized fibromatosis | Infantile myofibromatosis,,false,881-883,Fibromatous neoplasms
526,8825/0,0,Myofibroblastoma,,,false,881-883,Fibromatous neoplasms
527,8825/1,1,"Myofibroblastic tumor, NOS",Inflammatory myofibroblastic tumor,,false,881-883,Fibromatous neoplasms
528,8826/0,0,Angiomyofibroblastoma,,,false,881-883,Fibromatous neoplasms
529,8827/1,1,"Myofibroblastic tumor, peribronchial (C34._)",Congenital peribronchial myofibroblastic tumor (C34._),,false,881-883,Fibromatous neoplasms
530,8830/0,0,Benign fibrous histiocytoma,"Fibrous histiocytoma, NOS | Fibroxanthoma, NOS | Xanthofibroma",,false,881-883,Fibromatous neoplasms
531,8830/1,1,Atypical fibrous histiocytoma,Atypical fibroxanthoma,,false,881-883,Fibromatous neoplasms
532,8830/3,3,Malignant fibrous histiocytoma,"Fibroxanthoma, malignant",,false,881-883,Fibromatous neoplasms
533,8831/0,0,"Histiocytoma, NOS",Deep histiocytoma | Juvenile histiocytoma | Reticulohistiocytoma,,false,881-883,Fibromatous neoplasms
534,8832/0,0,"Dermatofibroma, NOS (C44._)","Cutaneous histiocytoma, NOS (C44._) | Dermatofibroma lenticulare (C44._) | Sclerosing hemangioma (C44._) | Subepidermal nodular fibrosis (C44._)",,false,881-883,Fibromatous neoplasms
535,8832/3,3,"Dermatofibrosarcoma, NOS (C44._)","Dermatofibrosarcoma protuberans, NOS (C44._)",,false,881-883,Fibromatous neoplasms
536,8833/3,3,Pigmented dermatofibrosarcoma protuberans (C44._),Bednar tumor (C44._),,false,881-883,Fibromatous neoplasms
537,8834/1,1,Giant cell fibroblastoma,,,false,881-883,Fibromatous neoplasms
538,8835/1,1,Plexiform fibrohistiocytic tumor,,,false,881-883,Fibromatous neoplasms
539,8836/1,1,Angiomatoid fibrous histiocytoma,,,false,881-883,Fibromatous neoplasms
540,8840/0,0,"Myxoma, NOS",,,false,884,Myxomatous neoplasms
541,8840/3,3,Myxosarcoma,,,false,884,Myxomatous neoplasms
542,8841/1,1,Angiomyxoma,Aggressive angiomyxoma,,false,884,Myxomatous neoplasms
543,8842/0,0,Ossifying fibromyxoid tumor,,,false,884,Myxomatous neoplasms
544,8850/0,0,"Lipoma, NOS",,,false,885-888,Lipomatous neoplasms
545,8850/1,1,Atypical lipoma,Superficial well differentated liposarcoma | Well differentiated liposarcoma of superficial soft tissue,,false,885-888,Lipomatous neoplasms
546,8850/3,3,"Liposarcoma, NOS",Fibroliposarcoma,,false,885-888,Lipomatous neoplasms
547,8851/0,0,Fibrolipoma,,,false,885-888,Lipomatous neoplasms
548,8851/3,3,"Liposarcoma, well differentiated","Lipoma-like liposarcoma | Liposarcoma, differentiated | Inflammatory liposarcoma | Sclerosing liposarcoma",,false,885-888,Lipomatous neoplasms
549,8852/0,0,Fibromyxolipoma,Myxolipoma,,false,885-888,Lipomatous neoplasms
550,8852/3,3,Myxoid liposarcoma,Myxoliposarcoma,,false,885-888,Lipomatous neoplasms
551,8853/3,3,Round cell liposarcoma,,,false,885-888,Lipomatous neoplasms
552,8854/0,0,Pleomorphic lipoma,,,false,885-888,Lipomatous neoplasms
553,8854/3,3,Pleomorphic liposarcoma,,,false,885-888,Lipomatous neoplasms
554,8855/3,3,Mixed liposarcoma,,,false,885-888,Lipomatous neoplasms
555,8856/0,0,Intramuscular lipoma,Infiltrating angiolipoma | Infiltrating lipoma,,false,885-888,Lipomatous neoplasms
556,8857/0,0,Spindle cell lipoma,,,false,885-888,Lipomatous neoplasms
557,8857/3,3,Fibroblastic liposarcoma,,,false,885-888,Lipomatous neoplasms
558,8858/3,3,Dedifferentiated liposarcoma,,,false,885-888,Lipomatous neoplasms
559,8860/0,0,Angiomyolipoma,,,false,885-888,Lipomatous neoplasms
560,8861/0,0,"Angiolipoma, NOS",,,false,885-888,Lipomatous neoplasms
561,8862/0,0,Chondroid lipoma,,,false,885-888,Lipomatous neoplasms
562,8870/0,0,Myelolipoma,,,false,885-888,Lipomatous neoplasms
563,8880/0,0,Hibernoma,Brown fat tumor | Fetal fat cell lipoma,,false,885-888,Lipomatous neoplasms
564,8881/0,0,Lipoblastomatosis,"Fetal lipoma, NOS | Fetal lipomatosis | Lipoblastoma",,false,885-888,Lipomatous neoplasms
565,8890/0,0,"Leiomyoma, NOS",Fibroid uterus (C55.9) | Fibromyoma | Leiomyofibroma | Lipoleiomyoma | Plexiform leiomyoma,C55.9,false,889-892,Myomatous neoplasms
566,8890/1,1,"Leiomyomatosis, NOS",Intravascular leiomyomatosis,,false,889-892,Myomatous neoplasms
567,8890/3,3,"Leiomyosarcoma, NOS",,,false,889-892,Myomatous neoplasms
568,8891/0,0,Epithelioid leiomyoma,Leiomyoblastoma,,false,889-892,Myomatous neoplasms
569,8891/3,3,Epithelioid leiomyosarcoma,,,false,889-892,Myomatous neoplasms
570,8892/0,0,Cellular leiomyoma,,,false,889-892,Myomatous neoplasms
571,8893/0,0,Bizarre leiomyoma,Atypical leiomyoma | Pleomorphic leiomyoma | Symplastic leiomyoma,,false,889-892,Myomatous neoplasms
572,8894/0,0,Angiomyoma,Angioleiomyoma | Vascular leiomyoma,,false,889-892,Myomatous neoplasms
573,8894/3,3,Angiomyosarcoma,,,false,889-892,Myomatous neoplasms
574,8895/0,0,Myoma,,,false,889-892,Myomatous neoplasms
575,8895/3,3,Myosarcoma,,,false,889-892,Myomatous neoplasms
576,8896/3,3,Myxoid leiomyosarcoma,,,false,889-892,Myomatous neoplasms
577,8897/1,1,Smooth muscle tumor of uncertain malignant potential,"Smooth muscle tumor, NOS",,false,889-892,Myomatous neoplasms
578,8898/1,1,Metastasizing leiomyoma,,,false,889-892,Myomatous neoplasms
579,8900/0,0,"Rhabdomyoma, NOS",,,false,889-892,Myomatous neoplasms
580,8900/3,3,"Rhabdomyosarcoma, NOS",Rhabdosarcoma,,false,889-892,Myomatous neoplasms
581,8901/3,3,"Pleomorphic rhabdomyosarcoma, adult type","Pleomorphic rhabdomyosarcoma, NOS",,false,889-892,Myomatous neoplasms
582,8902/3,3,Mixed type rhabdomyosarcoma,Mixed embryonal rhabdomyosarcoma and alveolar rhabdomyosarcoma,,false,889-892,Myomatous neoplasms
583,8903/0,0,Fetal rhabdomyoma,,,false,889-892,Myomatous neoplasms
584,8904/0,0,Adult rhabdomyoma,Glycogenic rhabdomyoma,,false,889-892,Myomatous neoplasms
585,8905/0,0,"Genital rhabdomyoma (C51._, C52.9)",,,false,889-892,Myomatous neoplasms
586,8910/3,3,"Embryonal rhabdomyosarcoma, NOS","Embryonal rhabdomyosarcoma, pleomorphic | Sarcoma botryoides | Botryoid sarcoma",,false,889-892,Myomatous neoplasms
587,8912/3,3,Spindle cell rhabdomyosarcoma,,,false,889-892,Myomatous neoplasms
588,8920/3,3,Alveolar rhabdomyosarcoma,,,false,889-892,Myomatous neoplasms
589,8921/3,3,Rhabdomyosarcoma with ganglionic differentiation,Ectomesenchymoma,,false,889-892,Myomatous neoplasms
590,8930/0,0,Endometrial stromal nodule (C54.1),,C54.1,false,893-899,Complex mixed and stromal neoplasms
591,8930/3,3,"Endometrial stromal sarcoma, NOS (C54.1)","Endometrial sarcoma, NOS (C54.1) | Endometrial stromal sarcoma, high grade (C54.1)",C54.1,false,893-899,Complex mixed and stromal neoplasms
592,8931/3,3,"Endometrial stromal sarcoma, low grade (C54.1)","Endolymphatic stromal myosis (C54.1) | Endometrial stromatosis (C54.1) | Stromal endometriosis (C54.1) | Stromal myosis, NOS (C54.1)",C54.1,false,893-899,Complex mixed and stromal neoplasms
593,8932/0,0,Adenomyoma,Atypical polypoid adenomyoma,,false,893-899,Complex mixed and stromal neoplasms
594,8933/3,3,Adenosarcoma,,,false,893-899,Complex mixed and stromal neoplasms
595,8934/3,3,Carcinofibroma,,,false,893-899,Complex mixed and stromal neoplasms
596,8935/0,0,"Stromal tumor, benign",,,false,893-899,Complex mixed and stromal neoplasms
597,8935/1,1,"Stromal tumor, NOS",,,false,893-899,Complex mixed and stromal neoplasms
598,8935/3,3,"Stromal sarcoma, NOS",,,false,893-899,Complex mixed and stromal neoplasms
599,8936/0,0,"Gastrointestinal stromal tumor, benign","GIST, benign",,false,893-899,Complex mixed and stromal neoplasms
600,8936/1,1,"Gastrointestinal stromal tumor, NOS","GIST, NOS | Gastrointestinal stromal tumor, uncertain malignant potential | Gastrointestinal autonomic nerve tumor | GANT | Gastrointestinal pacemaker cell tumor",,false,893-899,Complex mixed and stromal neoplasms
601,8936/3,3,Gastrointestinal stromal sarcoma,"Gastrointestinal stromal tumor, malignant | GIST, malignant",,false,893-899,Complex mixed and stromal neoplasms
602,8940/0,0,Pleomorphic adenoma,"Mixed tumor, NOS | Mixed tumor, salivary gland type, NOS (C07._, C08._) | Chondroid syringoma (C44._)",,false,893-899,Complex mixed and stromal neoplasms
603,8940/3,3,"Mixed tumor, malignant, NOS","Mixed tumor, salivary gland type, malignant (C07._, C08._) | Malignant chondroid syringoma (C44._)",,false,893-899,Complex mixed and stromal neoplasms
604,8941/3,3,"Carcinoma in pleomorphic adenoma (C07._, C08._)",,,false,893-899,Complex mixed and stromal neoplasms
605,8950/3,3,Mullerian mixed tumor (C54._),,,false,893-899,Complex mixed and stromal neoplasms
606,8951/3,3,Mesodermal mixed tumor,,,false,893-899,Complex mixed and stromal neoplasms
607,8959/0,0,Benign cystic nephroma (C64.9),,C64.9,false,893-899,Complex mixed and stromal neoplasms
608,8959/1,1,Cystic partially differentiated nephroblastoma (C64.9),,C64.9,false,893-899,Complex mixed and stromal neoplasms
609,8959/3,3,Malignant cystic nephroma (C64.9),Malignant multilocular cystic nephroma (C64.9),C64.9,false,893-899,Complex mixed and stromal neoplasms
610,8960/1,1,Mesoblastic nephroma,,,false,893-899,Complex mixed and stromal neoplasms
611,8960/3,3,"Nephroblastoma, NOS (C64.9)","Nephroma, NOS (C64.9) | Wilms tumor (C64.9)",C64.9,false,893-899,Complex mixed and stromal neoplasms
612,8963/3,3,Malignant rhabdoid tumor,"Rhabdoid sarcoma | Rhabdoid tumor, NOS",,false,893-899,Complex mixed and stromal neoplasms
613,8964/3,3,Clear cell sarcoma of kidney (C64.9),,C64.9,false,893-899,Complex mixed and stromal neoplasms
614,8965/0,0,Nephrogenic adenofibroma (C64.9),,C64.9,false,893-899,Complex mixed and stromal neoplasms
615,8966/0,0,Renomedullary interstitial cell tumor (C64.9),Renomedullary fibroma (C64.9),C64.9,false,893-899,Complex mixed and stromal neoplasms
616,8967/0,0,Ossifying renal tumor (C64.9),,C64.9,false,893-899,Complex mixed and stromal neoplasms
617,8970/3,3,Hepatoblastoma (C22.0),"Embryonal hepatoma (C22.0) | Hepatoblastoma, epithelioid (C22.0) | Hepatoblastoma, mixed epithelial- mesenchymal (C22.0)",C22.0,false,893-899,Complex mixed and stromal neoplasms
618,8971/3,3,Pancreatoblastoma (C25._),,,false,893-899,Complex mixed and stromal neoplasms
619,8972/3,3,Pulmonary blastoma (C34._),Pneumoblastoma (C34._),,false,893-899,Complex mixed and stromal neoplasms
620,8973/3,3,Pleuropulmonary blastoma,,,false,893-899,Complex mixed and stromal neoplasms
621,8974/1,1,Sialoblastoma,,,false,893-899,Complex mixed and stromal neoplasms
622,8975/1,1,Calcifying nested epithelial stromal tumor (C22.0),,C22.0,false,893-899,Complex mixed and stromal neoplasms
623,8980/3,3,"Carcinosarcoma, NOS",,,false,893-899,Complex mixed and stromal neoplasms
624,8981/3,3,"Carcinosarcoma, embryonal",,,false,893-899,Complex mixed and stromal neoplasms
625,8982/0,0,Myoepithelioma,Myoepithelial adenoma | Myoepithelial tumor,,false,893-899,Complex mixed and stromal neoplasms
626,8982/3,3,Malignant myoepithelioma,Myoepithelial carcinoma,,false,893-899,Complex mixed and stromal neoplasms
627,8983/0,0,Adenomyoepithelioma (C50._),,,false,893-899,Complex mixed and stromal neoplasms
628,8990/0,0,"Mesenchymoma, benign",,,false,893-899,Complex mixed and stromal neoplasms
629,8990/1,1,"Mesenchymoma, NOS",Mixed mesenchymal tumor,,false,893-899,Complex mixed and stromal neoplasms
630,8990/3,3,"Mesenchymoma, malignant",Mixed mesenchymal sarcoma,,false,893-899,Complex mixed and stromal neoplasms
631,8991/3,3,Embryonal sarcoma,,,false,893-899,Complex mixed and stromal neoplasms
632,9000/0,0,"Brenner tumor, NOS (C56.9)",,C56.9,false,900-903,Fibroepithelial neoplasms
633,9000/1,1,"Brenner tumor, borderline malignancy (C56.9)","Brenner tumor, proliferating (C56.9)",C56.9,false,900-903,Fibroepithelial neoplasms
634,9000/3,3,"Brenner tumor, malignant (C56.9)",,C56.9,false,900-903,Fibroepithelial neoplasms
635,9010/0,0,"Fibroadenoma, NOS (C50._)",,,false,900-903,Fibroepithelial neoplasms
636,9011/0,0,Intracanalicular fibroadenoma (C50._),,,false,900-903,Fibroepithelial neoplasms
637,9012/0,0,Pericanalicular fibroadenoma (C50._),,,false,900-903,Fibroepithelial neoplasms
638,9013/0,0,"Adenofibroma, NOS","Cystadenofibroma, NOS | Papillary adenofibroma",,false,900-903,Fibroepithelial neoplasms
639,9014/0,0,"Serous adenofibroma, NOS","Serous cystadenofibroma, NOS",,false,900-903,Fibroepithelial neoplasms
640,9014/1,1,Serous adenofibroma of borderline malignancy,Serous cystadenofibroma of borderline malignancy,,false,900-903,Fibroepithelial neoplasms
641,9014/3,3,Serous adenocarcinofibroma,Malignant serous adenofibroma | Serous cystadenocarcinofibroma | Malignant serous cystadenofibroma,,false,900-903,Fibroepithelial neoplasms
642,9015/0,0,"Mucinous adenofibroma, NOS","Mucinous cystadenofibroma, NOS",,false,900-903,Fibroepithelial neoplasms
643,9015/1,1,Mucinous adenofibroma of borderline malignancy,Mucinous cystadenofibroma of borderline malignancy,,false,900-903,Fibroepithelial neoplasms
644,9015/3,3,Mucinous adenocarcinofibroma,Malignant mucinous adenofibroma | Mucinous cystadenocarcinofibroma | Malignant mucinous cystadenofibroma,,false,900-903,Fibroepithelial neoplasms
645,9016/0,0,Giant fibroadenoma (C50._),,,false,900-903,Fibroepithelial neoplasms
646,9020/0,0,"Phyllodes tumor, benign (C50._)","Cystosarcoma phyllodes, benign (C50._) | [obs]",,true,900-903,Fibroepithelial neoplasms
647,9020/1,1,"Phyllodes tumor, borderline (C50._)","Cystosarcoma phyllodes, NOS (C50._) | Phyllodes tumor, NOS (C50._)",,false,900-903,Fibroepithelial neoplasms
648,9020/3,3,"Phyllodes tumor, malignant (C50._)","Cystosarcoma phyllodes, malignant (C50._)",,false,900-903,Fibroepithelial neoplasms
649,9030/0,0,Juvenile fibroadenoma (C50._),,,false,900-903,Fibroepithelial neoplasms
650,9040/0,0,"Synovioma, benign",,,false,904,Synovial-like neoplasms
651,9040/3,3,"Synovial sarcoma, NOS","Synovioma, NOS | Synovioma, malignant",,false,904,Synovial-like neoplasms
652,9041/3,3,"Synovial sarcoma, spindle cell","Synovial sarcoma, monophasic fibrous",,false,904,Synovial-like neoplasms
653,9042/3,3,"Synovial sarcoma, epithelioid cell",,,false,904,Synovial-like neoplasms
654,9043/3,3,"Synovial sarcoma, biphasic",,,false,904,Synovial-like neoplasms
655,9044/3,3,"Clear cell sarcoma, NOS (except of kidney M-8964/3)","Clear cell sarcoma, of tendons and aponeuroses (C49._) | Melanoma, malignant, of soft parts (C49._)",,false,904,Synovial-like neoplasms
656,9050/0,0,"Mesothelioma, benign",,,false,905,Mesothelial neoplasms
657,9050/3,3,"Mesothelioma, malignant","Mesothelioma, NOS",,false,905,Mesothelial neoplasms
658,9051/0,0,"Fibrous mesothelioma, benign",,,false,905,Mesothelial neoplasms
659,9051/3,3,"Fibrous mesothelioma, malignant","Fibrous mesothelioma, NOS | Desmoplastic mesothelioma | Sarcomatoid mesothelioma | Spindled mesothelioma",,false,905,Mesothelial neoplasms
660,9052/0,0,"Epithelioid mesothelioma, benign","Well differentiated papillary mesothelioma, benign | Mesothelial papilloma",,false,905,Mesothelial neoplasms
661,9052/3,3,"Epithelioid mesothelioma, malignant","Epithelioid mesothelioma, NOS",,false,905,Mesothelial neoplasms
662,9053/3,3,"Mesothelioma, biphasic, malignant","Mesothelioma, biphasic, NOS",,false,905,Mesothelial neoplasms
663,9054/0,0,"Adenomatoid tumor, NOS",,,false,905,Mesothelial neoplasms
664,9055/0,0,"Multicystic mesothelioma, benign","Cystic mesothelioma, benign (C48._)",,false,905,Mesothelial neoplasms
665,9055/1,1,"Cystic mesothelioma, NOS (C48._)",,,false,905,Mesothelial neoplasms
666,9060/3,3,Dysgerminoma,,,false,906-909,Germ cell neoplasms
667,9061/3,3,"Seminoma, NOS (C62._)",,,false,906-909,Germ cell neoplasms
668,9062/3,3,"Seminoma, anaplastic (C62._)",Seminoma with high mitotic index (C62._),,false,906-909,Germ cell neoplasms
669,9063/3,3,Spermatocytic seminoma (C62._),Spermatocytoma (C62._),,false,906-909,Germ cell neoplasms
670,9064/2,2,Intratubular malignant germ cells (C62._),Intratubular germ cell neoplasia (C62._),,false,906-909,Germ cell neoplasms
671,9064/3,3,Germinoma,"Germ cell tumor, NOS",,false,906-909,Germ cell neoplasms
672,9065/3,3,"Germ cell tumor, nonseminomatous (C62._)",,,false,906-909,Germ cell neoplasms
673,9070/3,3,"Embryonal carcinoma, NOS",Embryonal adenocarcinoma,,false,906-909,Germ cell neoplasms
674,9071/3,3,Yolk sac tumor,"Embryonal carcinoma, infantile | Endodermal sinus tumor | Orchioblastoma (C62._) | Polyvesicular vitelline tumor | Hepatoid yolk sac tumor",,false,906-909,Germ cell neoplasms
675,9072/3,3,Polyembryoma,"Embryonal carcinoma, polyembryonal type",,false,906-909,Germ cell neoplasms
676,9073/1,1,Gonadoblastoma,Gonocytoma,,false,906-909,Germ cell neoplasms
677,9080/0,0,"Teratoma, benign","Adult teratoma, NOS | Cystic teratoma, NOS | Adult cystic teratoma | Mature teratoma | Teratoma, differentiated",,false,906-909,Germ cell neoplasms
678,9080/1,1,"Teratoma, NOS",Solid teratoma,,false,906-909,Germ cell neoplasms
679,9080/3,3,"Teratoma, malignant, NOS","Embryonal teratoma | Teratoblastoma, malignant | Immature teratoma, malignant | Immature teratoma, NOS",,false,906-909,Germ cell neoplasms
680,9081/3,3,Teratocarcinoma,Mixed embryonal carcinoma and teratoma,,false,906-909,Germ cell neoplasms
681,9082/3,3,"Malignant teratoma, undifferentiated","Malignant teratoma, anaplastic",,false,906-909,Germ cell neoplasms
682,9083/3,3,"Malignant teratoma, intermediate",,,false,906-909,Germ cell neoplasms
683,9084/0,0,"Dermoid cyst, NOS","Dermoid, NOS",,false,906-909,Germ cell neoplasms
684,9084/3,3,Teratoma with malignant transformation,Dermoid cyst with malignant transformation (C56.9) | Dermoid cyst with secondary tumor,C56.9,false,906-909,Germ cell neoplasms
685,9085/3,3,Mixed germ cell tumor,Mixed teratoma and seminoma,,false,906-909,Germ cell neoplasms
686,9090/0,0,"Struma ovarii, NOS (C56.9)",,C56.9,false,906-909,Germ cell neoplasms
687,9090/3,3,"Struma ovarii, malignant (C56.9)",,C56.9,false,906-909,Germ cell neoplasms
688,9091/1,1,Strumal carcinoid (C56.9),Struma ovarii and carcinoid (C56.9),C56.9,false,906-909,Germ cell neoplasms
689,9100/0,0,"Hydatidiform mole, NOS (C58.9)",Complete hydatidiform mole (C58.9) | Hydatid mole (C58.9),C58.9,false,910,Trophoblastic neoplasms
